COUNTY,COUNT
a1,28
a2,4
a3,2
a4,3
a5,3
a6,0
a7,3
a8,63
a9,25
a10,3
a11,7
a12,3
a13,1
a14,4
a15,3
a16,5
a17,11
a18,0
a19,0
a20,0
a21,0
a22,0
a23,0
a24,0
a25,0
a26,0
a27,0
a28,0
a29,0
a30,0
a31,0
a32,0
a33,5
a34,2
a35,11
a36,2
a37,3
a38,5
a39,19
a40,2
a41,4
a42,5
a43,1
a44,6
a45,4
a46,7
a47,15
a48,13
a49,6
a50,9
a51,0
a52,13
a53,13
a54,2
a55,5
a56,8
a57,5
a58,6
a59,7
a60,10
a61,0
a62,8
a63,6
a64,6
a65,7
a66,13
a67,8
a68,7
a69,9
a70,6
a71,11
a72,2
a73,9
a74,8
a75,13
a76,14
a77,10
a78,14
a79,7
a80,9
a81,4
a82,4
a83,4
a84,14
a85,15
a86,11
a87,6
a88,12
a89,9
a90,10
a91,23
a92,9
a93,12
a94,6
a95,4
a96,4
a97,3
a98,8
a99,6
a100,11
a101,6
a102,11
a103,13
a104,5
a105,3
a106,9
a107,5
a108,12
a109,11
a110,17
a111,2
a112,4
a113,6
a114,4
a115,4
a116,5
a117,1
a118,7
a119,11
a120,17
a121,17
a122,18
a123,10
a124,3
a125,4
a126,2
a127,5
a128,13
a129,9
a130,9
a131,9
a132,3
a133,2
a134,8
a135,6
a136,16
a137,10
a138,12
a139,12
a140,15
a141,7
a142,3
a143,3
a144,4
a145,6
a146,7
a147,4
a148,14
a149,3
a150,4
a151,8
a152,5
a153,4
a154,12
a155,13
a156,6
a157,3
a158,10
a159,6
a160,5
a161,9
a162,6
a163,4
a164,8
a165,12
a166,8
a167,12
a168,13
a169,7
a170,9
a171,8
a172,4
a173,9
a174,26
a175,9
a176,17
a177,5
a178,12
a179,13
a180,6
a181,8
a182,15
a183,16
a184,4
a185,8
a186,4
a187,6
a188,6
a189,4
a190,10
a191,8
a192,12
a193,11
a194,9
a195,8
a196,10
a197,5
a198,8
a199,5
a200,8
a201,2
a202,11
a203,9
a204,1
a205,27
a206,9
a207,3
a208,11
a209,3
a210,6
a211,43
a212,6
a213,9
a214,6
a215,3
a216,5
a217,11
a218,10
a219,20
a220,10
a221,18
a222,10
a223,21
a224,9
a225,13
a226,9
a227,3
a228,4
a229,4
a230,6
a231,4
a232,2
a233,6
a234,7
a235,10
a236,14
a237,5
a238,11
a239,22
a240,18
a241,14
a242,8
a243,5
a244,17
a245,10
a246,3
a247,13
a248,7
a249,11
a250,12
a251,8
a252,6
a253,2
a254,7
a255,7
a256,11
a257,2
a258,7
a259,17
a260,14
a261,14
a262,7
a263,18
a264,16
a265,10
a266,10
a267,8
a268,14
a269,7
a270,12
a271,8
a272,3
a273,3
a274,14
a275,9
a276,28
a277,9
a278,7
a279,12
a280,4
a281,21
a282,4
a283,3
a284,2
a285,7
a286,52
a287,11
a288,23
a289,6
a290,6
a291,8
a292,5
a293,6
a294,3
a295,10
a296,7
a297,5
a298,7
a299,10
a300,6
a301,32
a302,3
a303,16
a304,3
a305,17
a306,16
a307,8
a308,7
a309,20
a310,5
a311,9
a312,2
a313,15
a314,10
a315,9
a316,12
a317,10
a318,19
a319,8
a320,5
a321,13
a322,13
a323,16
a324,12
a325,8
a326,10
a327,5
a328,7
a329,8
a330,15
a331,5
a332,6
a333,10
a334,9
a335,8
a336,15
a337,9
a338,4
a339,6
a340,24
a341,33
a342,31
a343,47
a344,32
a345,0
a346,18
a347,11
a348,0
a349,21
a350,8
a351,17
a352,9
a353,9
a354,20
a355,17
a356,18
a357,2
a358,113
a359,53
a360,21
a361,43
a362,9
a363,62
a364,15
a365,102
a366,16
a367,22
a368,9
a369,22
a370,3
a371,3
a372,12
a373,0
a374,5
a375,2
a376,5
a377,43
a378,7
a379,3
a380,4
a381,10
a382,5
a383,10
a384,4
a385,7
a386,11
a387,16
a388,5
a389,14
a390,11
a391,12
a392,21
a393,13
a394,19
a395,2
a396,25
a397,9
a398,8
a399,6
a400,34
a401,5
a402,22
a403,4
a404,7
a405,13
a406,6
a407,4
a408,22
a409,14
a410,2
a411,3
a412,9
a413,5
a414,7
a415,10
a416,12
a417,15
a418,22
a419,2
a420,11
a421,10
a422,23
a423,26
