일자,시가,고가,저가,종가,전일비,거래량
17.07.17,2545000,2551000,2526000,2532000,8000,157238
17.07.14,2550000,2554000,2521000,2524000,4000,164780
17.07.13,2504000,2547000,2502000,2528000,34000,320683
17.07.12,2450000,2500000,2442000,2494000,44000,189723
17.07.11,2432000,2450000,2414000,2450000,17000,194356
17.07.10,2425000,2445000,2416000,2433000,40000,215855
17.07.07,2387000,2406000,2381000,2393000,10000,162638
17.07.06,2400000,2405000,2386000,2403000,24000,218461
17.07.05,2341000,2384000,2339000,2379000,29000,212805
17.07.04,2358000,2370000,2345000,2350000,11000,159220
17.07.03,2375000,2389000,2356000,2361000,16000,136111
17.06.30,2375000,2381000,2355000,2377000,20000,237551
17.06.29,2402000,2416000,2397000,2397000,12000,166131
17.06.28,2380000,2400000,2378000,2385000,30000,191450
17.06.27,2411000,2420000,2395000,2415000,1000,192335
17.06.26,2376000,2418000,2376000,2414000,33000,171056
17.06.23,2380000,2389000,2371000,2381000,17000,190302
17.06.22,2398000,2404000,2386000,2398000,24000,229116
17.06.21,2387000,2406000,2374000,2374000,33000,199473
17.06.20,2362000,2407000,2361000,2407000,79000,300900
17.06.19,2279000,2328000,2278000,2328000,49000,226078
17.06.16,2275000,2297000,2273000,2279000,5000,348069
17.06.15,2284000,2296000,2259000,2284000,16000,193140
17.06.14,2290000,2303000,2262000,2268000,2000,203334
17.06.13,2257000,2281000,2257000,2270000,1000,172498
17.06.12,2271000,2280000,2257000,2269000,36000,219086
17.06.09,2284000,2322000,2280000,2305000,47000,234657
17.06.08,2250000,2279000,2250000,2258000,7000,279575
17.06.07,2325000,2325000,2262000,2265000,32000,274588
17.06.05,2302000,2318000,2286000,2297000,1000,151988
17.06.05,2302000 ,2318000 ,2286000 ,2297000 ,1000 ,151988 
17.06.02,2253000 ,2298000 ,2250000 ,2298000 ,64000 ,249775 
17.06.01,2243000 ,2245000 ,2220000 ,2234000 ,1000 ,195070 
17.05.31,2229000 ,2251000 ,2220000 ,2235000 ,3000 ,373382 
17.05.30,2276000 ,2283000 ,2224000 ,2232000 ,49000 ,248672 
17.05.29,2311000 ,2320000 ,2269000 ,2281000 ,23000 ,174791 
17.05.26,2280000 ,2323000 ,2277000 ,2304000 ,20000 ,272273 
17.05.25,2258000 ,2284000 ,2240000 ,2284000 ,40000 ,260896 
17.05.24,2243000 ,2265000 ,2240000 ,2244000 ,2000 ,173508 
17.05.23,2270000 ,2279000 ,2245000 ,2246000 ,9000 ,252141 
17.05.22,2252000 ,2269000 ,2238000 ,2255000 ,19000 ,352871 
17.05.19,2282000 ,2289000 ,2236000 ,2236000 ,61000 ,315247 
17.05.18,2287000 ,2300000 ,2277000 ,2297000 ,20000 ,223207 
17.05.17,2306000 ,2332000 ,2305000 ,2317000 ,2000 ,148489 
17.05.16,2333000 ,2340000 ,2305000 ,2319000 ,14000 ,176075 
17.05.15,2281000 ,2314000 ,2281000 ,2305000 ,14000 ,160028 
17.05.12,2288000 ,2308000 ,2283000 ,2291000 ,16000 ,188458 
17.05.11,2271000 ,2309000 ,2261000 ,2275000 ,5000 ,425557 
17.05.10,2308000 ,2361000 ,2280000 ,2280000 ,71000 ,468219 
17.05.08,2276000 ,2351000 ,2267000 ,2351000 ,75000 ,332669 
17.05.04,2285000 ,2285000 ,2243000 ,2276000 ,31000 ,273802 
17.05.02,2275000 ,2275000 ,2238000 ,2245000 ,14000 ,281366 
17.04.28,2289000 ,2290000 ,2226000 ,2231000 ,39000 ,429468 
17.04.27,2135000 ,2226000 ,2098000 ,2192000 ,52000 ,460645 
17.04.26,2135000 ,2140000 ,2126000 ,2140000 ,5000 ,295896 
17.04.25,2073000 ,2137000 ,2066000 ,2135000 ,73000 ,385992 
17.04.24,2063000 ,2063000 ,2046000 ,2062000 ,24000 ,179803 
17.04.21,2024000 ,2070000 ,2024000 ,2038000 ,24000 ,302610 
17.04.20,2029000 ,2040000 ,2004000 ,2014000 ,31000 ,422977 
17.04.19,2065000 ,2071000 ,2045000 ,2045000 ,30000 ,235258 
17.04.18,2084000 ,2091000 ,2064000 ,2075000 ,3000 ,137213 
17.04.17,2100000 ,2104000 ,2076000 ,2078000 ,23000 ,104495 
17.04.14,2108000 ,2113000 ,2088000 ,2101000 ,20000 ,109257 
17.04.13,2083000 ,2123000 ,2083000 ,2121000 ,26000 ,180816 
17.04.12,2093000 ,2097000 ,2085000 ,2095000 ,15000 ,165498 
17.04.11,2097000 ,2097000 ,2079000 ,2080000 ,17000 ,143458 
17.04.10,2097000 ,2097000 ,2075000 ,2097000 ,17000 ,142827 
17.04.07,2090000 ,2091000 ,2058000 ,2080000 ,12000 ,200420 
17.04.06,2100000 ,2104000 ,2080000 ,2092000 ,15000 ,193668 
17.04.05,2095000 ,2112000 ,2085000 ,2107000 ,3000 ,213994 
17.04.04,2080000 ,2109000 ,2076000 ,2104000 ,32000 ,245110 
17.04.03,2070000 ,2086000 ,2065000 ,2072000 ,12000 ,191588 
17.03.31,2091000 ,2101000 ,2060000 ,2060000 ,39000 ,210006 
17.03.30,2094000 ,2122000 ,2094000 ,2099000 ,10000 ,164080 
17.03.29,2087000 ,2098000 ,2079000 ,2089000 ,15000 ,201865 
17.03.28,2078000 ,2092000 ,2069000 ,2074000 ,14000 ,164325 
17.03.27,2060000 ,2094000 ,2059000 ,2060000 ,15000 ,243553 
17.03.24,2080000 ,2099000 ,2054000 ,2075000 ,15000 ,256163 
17.03.23,2110000 ,2118000 ,2085000 ,2090000 ,33000 ,307942 
17.03.22,2080000 ,2123000 ,2079000 ,2123000 ,5000 ,328545 
17.03.21,2089000 ,2134000 ,2088000 ,2128000 ,33000 ,284403 
17.03.20,2100000 ,2106000 ,2087000 ,2095000 ,25000 ,205001 
